	Params	Ants_porcent	Number_Iterations	Strategy_Pheromone_Method	Bests_Results	Number_times_got_best_solution
49	Number of interations:15 Count_Ants_per_edges:2 Strategy_Pheromone_Method:ASR Q:10000 Alpha:0.5 Beta:2 Rho:0.2 W:5 Zeta:0.8	2	15	ASR	2109.7	5
63	Number of interations:15 Count_Ants_per_edges:2 Strategy_Pheromone_Method:ASR Q:10000 Alpha:1 Beta:5 Rho:0.5 W:5 Zeta:0.8	2	15	ASR	2131.1	3
90	Number of interations:15 Count_Ants_per_edges:1 Strategy_Pheromone_Method:EAS Q:10000 Alpha:1 Beta:2 Rho:0.5 W:5 Zeta:0.3	1	15	EAS	2126.0	3
0	Number of interations:15 Count_Ants_per_edges:1 Strategy_Pheromone_Method:ASR Q:100 Alpha:0.5 Beta:2 Rho:0.2 W:5 Zeta:0.3	1	15	ASR	2152.9	2
6	Number of interations:15 Count_Ants_per_edges:1 Strategy_Pheromone_Method:ASR Q:100 Alpha:0.5 Beta:5 Rho:0.5 W:5 Zeta:0.3	1	15	ASR	2141.8	2
16	Number of interations:15 Count_Ants_per_edges:1 Strategy_Pheromone_Method:ASR Q:10000 Alpha:0.5 Beta:2 Rho:0.2 W:5 Zeta:0.3	1	15	ASR	2169.0	2
29	Number of interations:15 Count_Ants_per_edges:1 Strategy_Pheromone_Method:ASR Q:10000 Alpha:1 Beta:5 Rho:0.2 W:5 Zeta:0.8	1	15	ASR	2151.1	2
33	Number of interations:15 Count_Ants_per_edges:2 Strategy_Pheromone_Method:ASR Q:100 Alpha:0.5 Beta:2 Rho:0.2 W:5 Zeta:0.8	2	15	ASR	2122.0	2
36	Number of interations:15 Count_Ants_per_edges:2 Strategy_Pheromone_Method:ASR Q:100 Alpha:0.5 Beta:5 Rho:0.2 W:5 Zeta:0.3	2	15	ASR	2125.7	2
47	Number of interations:15 Count_Ants_per_edges:2 Strategy_Pheromone_Method:ASR Q:100 Alpha:1 Beta:5 Rho:0.5 W:5 Zeta:0.8	2	15	ASR	2141.9	2
51	Number of interations:15 Count_Ants_per_edges:2 Strategy_Pheromone_Method:ASR Q:10000 Alpha:0.5 Beta:2 Rho:0.5 W:5 Zeta:0.8	2	15	ASR	2129.0	2
60	Number of interations:15 Count_Ants_per_edges:2 Strategy_Pheromone_Method:ASR Q:10000 Alpha:1 Beta:5 Rho:0.2 W:5 Zeta:0.3	2	15	ASR	2136.1	2
61	Number of interations:15 Count_Ants_per_edges:2 Strategy_Pheromone_Method:ASR Q:10000 Alpha:1 Beta:5 Rho:0.2 W:5 Zeta:0.8	2	15	ASR	2126.7	2
88	Number of interations:15 Count_Ants_per_edges:1 Strategy_Pheromone_Method:EAS Q:10000 Alpha:1 Beta:2 Rho:0.2 W:5 Zeta:0.3	1	15	EAS	2146.8	2
103	Number of interations:15 Count_Ants_per_edges:2 Strategy_Pheromone_Method:EAS Q:100 Alpha:0.5 Beta:5 Rho:0.5 W:5 Zeta:0.8	2	15	EAS	2128.5	2
106	Number of interations:15 Count_Ants_per_edges:2 Strategy_Pheromone_Method:EAS Q:100 Alpha:1 Beta:2 Rho:0.5 W:5 Zeta:0.3	2	15	EAS	2109.6	2
123	Number of interations:15 Count_Ants_per_edges:2 Strategy_Pheromone_Method:EAS Q:10000 Alpha:1 Beta:2 Rho:0.5 W:5 Zeta:0.8	2	15	EAS	2138.1	2
5	Number of interations:15 Count_Ants_per_edges:1 Strategy_Pheromone_Method:ASR Q:100 Alpha:0.5 Beta:5 Rho:0.2 W:5 Zeta:0.8	1	15	ASR	2143.2	1
13	Number of interations:15 Count_Ants_per_edges:1 Strategy_Pheromone_Method:ASR Q:100 Alpha:1 Beta:5 Rho:0.2 W:5 Zeta:0.8	1	15	ASR	2147.2	1
17	Number of interations:15 Count_Ants_per_edges:1 Strategy_Pheromone_Method:ASR Q:10000 Alpha:0.5 Beta:2 Rho:0.2 W:5 Zeta:0.8	1	15	ASR	2150.6	1
22	Number of interations:15 Count_Ants_per_edges:1 Strategy_Pheromone_Method:ASR Q:10000 Alpha:0.5 Beta:5 Rho:0.5 W:5 Zeta:0.3	1	15	ASR	2134.7	1
27	Number of interations:15 Count_Ants_per_edges:1 Strategy_Pheromone_Method:ASR Q:10000 Alpha:1 Beta:2 Rho:0.5 W:5 Zeta:0.8	1	15	ASR	2198.8	1
31	Number of interations:15 Count_Ants_per_edges:1 Strategy_Pheromone_Method:ASR Q:10000 Alpha:1 Beta:5 Rho:0.5 W:5 Zeta:0.8	1	15	ASR	2159.2	1
32	Number of interations:15 Count_Ants_per_edges:2 Strategy_Pheromone_Method:ASR Q:100 Alpha:0.5 Beta:2 Rho:0.2 W:5 Zeta:0.3	2	15	ASR	2121.3	1
35	Number of interations:15 Count_Ants_per_edges:2 Strategy_Pheromone_Method:ASR Q:100 Alpha:0.5 Beta:2 Rho:0.5 W:5 Zeta:0.8	2	15	ASR	2153.8	1
37	Number of interations:15 Count_Ants_per_edges:2 Strategy_Pheromone_Method:ASR Q:100 Alpha:0.5 Beta:5 Rho:0.2 W:5 Zeta:0.8	2	15	ASR	2150.0	1
39	Number of interations:15 Count_Ants_per_edges:2 Strategy_Pheromone_Method:ASR Q:100 Alpha:0.5 Beta:5 Rho:0.5 W:5 Zeta:0.8	2	15	ASR	2134.7	1
40	Number of interations:15 Count_Ants_per_edges:2 Strategy_Pheromone_Method:ASR Q:100 Alpha:1 Beta:2 Rho:0.2 W:5 Zeta:0.3	2	15	ASR	2157.3	1
41	Number of interations:15 Count_Ants_per_edges:2 Strategy_Pheromone_Method:ASR Q:100 Alpha:1 Beta:2 Rho:0.2 W:5 Zeta:0.8	2	15	ASR	2182.5	1
44	Number of interations:15 Count_Ants_per_edges:2 Strategy_Pheromone_Method:ASR Q:100 Alpha:1 Beta:5 Rho:0.2 W:5 Zeta:0.3	2	15	ASR	2146.7	1
46	Number of interations:15 Count_Ants_per_edges:2 Strategy_Pheromone_Method:ASR Q:100 Alpha:1 Beta:5 Rho:0.5 W:5 Zeta:0.3	2	15	ASR	2149.0	1
50	Number of interations:15 Count_Ants_per_edges:2 Strategy_Pheromone_Method:ASR Q:10000 Alpha:0.5 Beta:2 Rho:0.5 W:5 Zeta:0.3	2	15	ASR	2141.8	1
52	Number of interations:15 Count_Ants_per_edges:2 Strategy_Pheromone_Method:ASR Q:10000 Alpha:0.5 Beta:5 Rho:0.2 W:5 Zeta:0.3	2	15	ASR	2129.6	1
54	Number of interations:15 Count_Ants_per_edges:2 Strategy_Pheromone_Method:ASR Q:10000 Alpha:0.5 Beta:5 Rho:0.5 W:5 Zeta:0.3	2	15	ASR	2132.0	1
56	Number of interations:15 Count_Ants_per_edges:2 Strategy_Pheromone_Method:ASR Q:10000 Alpha:1 Beta:2 Rho:0.2 W:5 Zeta:0.3	2	15	ASR	2154.4	1
62	Number of interations:15 Count_Ants_per_edges:2 Strategy_Pheromone_Method:ASR Q:10000 Alpha:1 Beta:5 Rho:0.5 W:5 Zeta:0.3	2	15	ASR	2137.7	1
75	Number of interations:15 Count_Ants_per_edges:1 Strategy_Pheromone_Method:EAS Q:100 Alpha:1 Beta:2 Rho:0.5 W:5 Zeta:0.8	1	15	EAS	2123.7	1
81	Number of interations:15 Count_Ants_per_edges:1 Strategy_Pheromone_Method:EAS Q:10000 Alpha:0.5 Beta:2 Rho:0.2 W:5 Zeta:0.8	1	15	EAS	2166.2	1
94	Number of interations:15 Count_Ants_per_edges:1 Strategy_Pheromone_Method:EAS Q:10000 Alpha:1 Beta:5 Rho:0.5 W:5 Zeta:0.3	1	15	EAS	2143.8	1
98	Number of interations:15 Count_Ants_per_edges:2 Strategy_Pheromone_Method:EAS Q:100 Alpha:0.5 Beta:2 Rho:0.5 W:5 Zeta:0.3	2	15	EAS	2153.8	1
